,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score
2,"there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?","""the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c""","a ) 156 , b ) 167 , c ) 870 , d ) 352 , e ) 380",c,"multiply(add(28, const_1), add(add(28, const_1), const_1))","add(n0,const_1)|add(#0,const_1)|multiply(#0,#1)|",physics,"Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c # ","Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c # there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?",category physics total number stations 30 30 stations choose two stations direction travel e hyderabad bangalore different bangalore hyderabad 3 ⁰ p ₂ ways 30 p ₂ 30 29 870 answer c 28 stations hyderabad bangalore many second class tickets printed passenger travel station station,4,"['Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i. e., hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways. 30 p ₂ = 30 * 29 = 870. answer : c # тu runs a certain distance at speeds of 10 km / hr and reaches his destiny on time. he goes 30 km at the speed of 20 km / hr and reaches a station 10 km per hour. find the total distance traveled by him?']","(0.59, 4.0)"
9,"a constructor estimates that 10 people can paint mr khans house in 4 days . if he uses 5 people instead of 10 , how long will they take to complete the job ?","""explanation : use formula for a work members ã — days = constant 10 ã — 4 = 5 ã — a a = 8 so answer is 8 days answer : d""","a ) 10 , b ) 4 , c ) 5 , d ) 8 , e ) 6",d,"divide(const_1, multiply(divide(const_1, multiply(const_4.0, 10)), 4))","multiply(n0,n1)|divide(const_1,#0)|multiply(n2,#1)|divide(const_1,#2)|",physics,Category: physics # explanation : use formula for a work members ã — days = constant 10 ã — 4 = 5 ã — a a = 8 so answer is 8 days answer : d # ,"Category: physics # explanation : use formula for a work members ã — days = constant 10 ã — 4 = 5 ã — a a = 8 so answer is 8 days answer : d # a constructor estimates that 10 people can paint mr khans house in 4 days . if he uses 5 people instead of 10 , how long will they take to complete the job ?",category physics explanation use formula work members ã days constant 10 ã 4 5 ã 8 answer 8 days answer constructor estimates 10 people paint mr khans house 4 days uses 5 people instead 10 long take complete job,2,"['Category: physics # explanation : use formula for a work members ã — days = constant 10 ã — 4 = 5 ã — a a = 8 so answer is 8 days answer : d # ˆ œ goes to complete a work in 10 days. she works 5 days on the work done by the help of her friend rose, she works 6 days on the work done by the friend rose. how many days will it take the two friends rose to finish the work?']","(0.53, 3.0)"
16,a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,"""speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b""","a ) 40 , b ) 36 , c ) 41 , d ) 42 , e ) 34",b,"divide(300, multiply(subtract(45, 150), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # ,Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,category physics speed 45 5 18 25 2 sec total distance covered 300 150 450 required time 450 2 25 36 sec answer option b train 300 long running speed 45 km hr time pass bridge 150 long,1,"[""Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # т leaves his home and walks toward frazer's house at the rate of 45 km / hr and 150 km / hr respectively. they take the time for which they take to arrive. what time will they take to arrive at frazer's home?""]","(0.68, 3.0)"
18,a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,"""speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e""","a ) 560 , b ) 570 , c ) 580 , d ) 590 , e ) 600",e,"multiply(divide(multiply(120, const_1000), const_3600), 18)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # ,Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,category physics speed 120 x 5 18 sec 100 3 sec length train speed x time length train 100 3 x 18 600 e train running speed 120 km hr crosses pole 18 seconds length train,1,['Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec. length of the train = ( speed x time ). length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # ƫ of a train covers a distance of 10 km in 3 hours. what is the length of the train?'],"(0.76, 2.0)"
19,a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,"""s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a""","a ) 32 kmph , b ) 76 kmph , c ) 34 kmph , d ) 43 kmph , e ) 40 kmph",a,"divide(divide(add(100, 300), const_1000), divide(45, const_3600))","add(n0,n1)|divide(n2,const_3600)|divide(#0,const_1000)|divide(#2,#1)|",physics,Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # ,Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,category physics 100 300 45 400 45 18 5 32 answer train 100 meters long completely crosses 300 meters long bridge 45 seconds speed train,1,['Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # ƫ ng us on an 850 - meter long train crosses a 900 meter long platform in 45 seconds. what is the speed of the train?'],"(0.77, 2.0)"
27,the lenght of a room is 5.5 m and width is 4 m . find the cost of paving the floor by slabs at the rate of rs . 900 per sq . metre .,"""area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a""","a ) s . 19,800 , b ) s . 15,600 , c ) s . 16,500 , d ) s . 17,600 , e ) s . 17,900",a,"multiply(900, multiply(5.5, 4))","multiply(n0,n1)|multiply(n2,#0)|",physics,Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a # ,Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a # the lenght of a room is 5.5 m and width is 4 m . find the cost of paving the floor by slabs at the rate of rs . 900 per sq . metre .,category physics area floor 55 ã 4 2 22 2 cost paving rs 900 ã 22 rs 19800 answer option lenght room 55 width 4 find cost paving floor slabs rate rs 900 per sq metre,4,['Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2. cost of paving = rs. ( 900 ã — 22 ) = rs. 19800 answer : option a # т has a rectangular floor 5.5 m by 2 m. how much is the cost of graveling the floor?'],"(0.63, 6.0)"
30,a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ?,"""( a + b ) work in 1 day = 1 / 20 , ( b + c ) work in 1 days = 1 / 15 . , ( c + a ) work in 1 days = 1 / 12 ( 1 ) adding = 2 [ a + b + c ] in 1 day work = [ 1 / 20 + 1 / 15 + 1 / 12 ] = 1 / 5 ( a + b + c ) work in 1 day = 1 / 10 b work in 1 days = [ a + b + c ] work in 1 days - work of ( a + c ) in 1 days = [ 1 / 10 - 1 / 12 ] = 1 / 60 b alone finish work in 60 days answer b""","a ) 50 , b ) 60 , c ) 45 , d ) 35 , e ) 48",b,"inverse(divide(add(inverse(12), add(inverse(20), inverse(15))), const_2))","inverse(n0)|inverse(n1)|inverse(n2)|add(#0,#1)|add(#3,#2)|divide(#4,const_2)|inverse(#5)|",physics,"Category: physics # ( a + b ) work in 1 day = 1 / 20 , ( b + c ) work in 1 days = 1 / 15 . , ( c + a ) work in 1 days = 1 / 12 ( 1 ) adding = 2 [ a + b + c ] in 1 day work = [ 1 / 20 + 1 / 15 + 1 / 12 ] = 1 / 5 ( a + b + c ) work in 1 day = 1 / 10 b work in 1 days = [ a + b + c ] work in 1 days - work of ( a + c ) in 1 days = [ 1 / 10 - 1 / 12 ] = 1 / 60 b alone finish work in 60 days answer b # ","Category: physics # ( a + b ) work in 1 day = 1 / 20 , ( b + c ) work in 1 days = 1 / 15 . , ( c + a ) work in 1 days = 1 / 12 ( 1 ) adding = 2 [ a + b + c ] in 1 day work = [ 1 / 20 + 1 / 15 + 1 / 12 ] = 1 / 5 ( a + b + c ) work in 1 day = 1 / 10 b work in 1 days = [ a + b + c ] work in 1 days - work of ( a + c ) in 1 days = [ 1 / 10 - 1 / 12 ] = 1 / 60 b alone finish work in 60 days answer b # a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ?",category physics b work 1 day 1 20 b c work 1 days 1 15 c work 1 days 1 12 1 adding 2 b c 1 day work 1 20 1 15 1 12 1 5 b c work 1 day 1 10 b work 1 days b c work 1 days work c 1 days 1 10 1 12 1 60 b alone finish work 60 days answer b b together work 20 days b c together 15 days c 12 days b alone finish work many days,2,"['Category: physics # ( a + b ) work in 1 day = 1 / 20, ( b + c ) work in 1 days = 1 / 15., ( c + a ) work in 1 days = 1 / 12 ( 1 ) adding = 2 [ a + b + c ] in 1 day work = [ 1 / 20 + 1 / 15 + 1 / 12 ] = 1 / 5 ( a + b + c ) work in 1 day = 1 / 10 b work in 1 days = [ a + b + c ] work in 1 days - work of ( a + c ) in 1 days = [ 1 / 10 - 1 / 12 ] = 1 / 60 b alone finish work in 60 days answer b # ʼ s one day work was finished by a twice as part finished by a thrice as many days as he finished the work. after a half the work was finished, ƫarcy had how many days was finished?']","(0.76, 21.0)"
31,"two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?","""rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d""","a ) 10.11 , b ) 8.11 , c ) 77.2 , d ) 13.15 , e ) 22.22",d,"multiply(multiply(multiply(const_0_2778, subtract(60, 16)), 50), inverse(multiply(const_0_2778, add(60, 16))))","add(n0,n1)|subtract(n0,n1)|multiply(#0,const_0_2778)|multiply(#1,const_0_2778)|inverse(#2)|multiply(n2,#3)|multiply(#4,#5)|",physics,Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d # ,"Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d # two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?",category physics rs 60 40 20 5 18 100 18 50 50 100 18 2500 9 rs 60 16 76 5 18 2500 9 18 380 1315 sec answer two trains equal length running speeds 60 16 kmph take 50 seconds cross running direction time take cross running opposite directions,1,"['Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec. answer : d # тu moves at the rate of 60 meters per second to the nearest whole length. she runs at the rate of 40 meters per second and spends 4 seconds each time, she runs at the rate of 10 meters per second. she runs at the rate of 12 meters per second and spends 4 seconds every third. how many seconds will it take her to run the first 60 meters in the hour?']","(0.47, 6.0)"
37,"a start walking from a place at a uniform speed of 6 kmph in a particular direction . after half an hour , b starts from the same place and walks in the same direction as a at a uniform speed and overtakes a after 1 hour 48 minutes . find the speed of b .","""distance covered by a in 30 min = 1 km b covers extra 1 km in 1 hour 48 minutes ( 9 / 5 hr ) i . e . relative speed of b over a = 1 / ( 9 / 5 ) = 5 / 9 so the speed of b = speed of a + 5 / 9 = 6 + 5 / 9 = 6.55 answer b""","a ) 4.7 kmph , b ) 6.6 kmph , c ) 4 kmph , d ) 7 kmph , e ) 5.3 kmph",b,"add(divide(1, divide(add(const_60, 48), const_60)), 6)","add(n2,const_60)|divide(#0,const_60)|divide(n1,#1)|add(n0,#2)|",physics,Category: physics # distance covered by a in 30 min = 1 km b covers extra 1 km in 1 hour 48 minutes ( 9 / 5 hr ) i . e . relative speed of b over a = 1 / ( 9 / 5 ) = 5 / 9 so the speed of b = speed of a + 5 / 9 = 6 + 5 / 9 = 6.55 answer b # ,"Category: physics # distance covered by a in 30 min = 1 km b covers extra 1 km in 1 hour 48 minutes ( 9 / 5 hr ) i . e . relative speed of b over a = 1 / ( 9 / 5 ) = 5 / 9 so the speed of b = speed of a + 5 / 9 = 6 + 5 / 9 = 6.55 answer b # a start walking from a place at a uniform speed of 6 kmph in a particular direction . after half an hour , b starts from the same place and walks in the same direction as a at a uniform speed and overtakes a after 1 hour 48 minutes . find the speed of b .",category physics distance covered 30 min 1 km b covers extra 1 km 1 hour 48 minutes 9 5 hr e relative speed b 1 9 5 5 9 speed b speed 5 9 6 5 9 655 answer b start walking place uniform speed 6 kmph particular direction half hour b starts place walks direction uniform speed overtakes 1 hour 48 minutes find speed b,0,"['Category: physics # distance covered by a in 30 min = 1 km b covers extra 1 km in 1 hour 48 minutes ( 9 / 5 hr ) i. e. relative speed of b over a = 1 / ( 9 / 5 ) = 5 / 9 so the speed of b = speed of a + 5 / 9 = 6 + 5 / 9 = 6.55 answer b # т has decided to hire three workers. she plans to hire 5 new workers. it pays her 8 % extra per hour for each additional hour worked per week, leaving her job 5 hours a week waiting for every 7 minutes. she spends hours a week on her first hour work at the beginning of the work at the end of the work. she spends $ 4 per hour and spends $ 4 per hour on her second hour work at the end of the work at the finish of the work. she spends $ 3 per hour on her third hour and spends $ 4 per hour on her fourth hour working at the end of the second hour work at the end of the third hour. she spends $ 4 per hour on her first hour work in buying the rest of the third hour. she spends $ 4 per hour on her second hour on her third hour cleaning the rest of the hour on her fourth hour on her fourth hour on her fourth hour on her fourth hour on her 17 minutes on her 12 minutes per hour. she spends $ 4 per hour on her third hour on her fourth hour on her fourth hour on her fourth hour on her fifth hour ( 9 / 5 ) hour on her fifth hour on her fourth hour on her fourth hour on her fifth hour on her fourth hour on her fourth hour on her fourth hour on her fourth hour on her fifth hour on her fourth hour on her 16 hours on her th hour on her 8 hour on her 22 hour on her 3 hour on her fourth hour on sam rides her 12 hour on her 8 hour on sam rides her 12 hour on her fifth hour on her 32 minutes on her way from home. sam rides her 12 hour on her way to work on her 4 hours per hour on her way to work on her way to work on her way to work on her way to work on her way to work on her way to work at the starting point on her way to work. if sam rides her bike from home to the grocery store, what portion of her time did she spend on her fourth hour on her fourth hour on her ride on her fourth hour on']","(0.53, 25.0)"
38,"oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?","2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a .","a ) 4 th , b ) 5 th , c ) 6 th , d ) 7 th , e ) 8 th",a,"subtract(divide(multiply(2, const_1000), 400), const_1)","multiply(n0,const_1000)|divide(#0,n1)|subtract(#1,const_1)",physics,"Category: physics # 2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a . # ","Category: physics # 2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a . # oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?",category physics 2 km 400 5 however street 2 km mark 5 th street maple street therefore highest numbered street 4 th street answer oak street begins pine street runs directly east 2 kilometers ends meets maple street oak street intersected every 400 meters perpendicular street streets pine street maple street given number beginning 1 st street one block east pine street continuing consecutively 2 nd street 3 rd street etc highest numbered street one block west maple street highest numbered street intersects oak street,4,"['Category: physics # 2 km / 400 m = 5. however, the street at the 2 - km mark is not 5 th street ; it is maple street. therefore, the highest numbered street is 4 th street. the answer is a. # т needs to make an estimate for how many bricks each row through the street at the rate of 3 miles per meter. if there are 400 bricks in the city, how many bricks will be there?']","(0.55, 9.0)"
