,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score,s_gptscore,n_gptscore,generated,score,s_score,n_score,generated_clean,labels,loss
0,0,2,16,a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,"""speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b""","a ) 40 , b ) 36 , c ) 41 , d ) 42 , e ) 34",b,"divide(300, multiply(subtract(45, 150), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # ,Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,category physics speed 45 5 18 25 2 sec total distance covered 300 150 450 required time 450 2 25 36 sec answer option b train 300 long running speed 45 km hr time pass bridge 150 long,1,"[""Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # т leaves his home and walks toward frazer's house at the rate of 45 km / hr and 150 km / hr respectively. they take the time for which they take to arrive. what time will they take to arrive at frazer's home?""]","(0.0, 15.0)",0.68,3.0,"['Category: physics # speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 300 + 150 = 450 m required time = 450 * 2 / 25 = 36 sec answer : option b # ˆ ¨ x = 225 m. answer : b # a train consists of 12 boggies, each boggy 15 metres long. the train crosses a telegraph post in 9 seconds. due to some problem, one boggies were detached. the train now crosses a telegraph post in']","(0.64, 4.0)",0.64,4.0,category physic speed 45 5 18 25 2 sec total distance covered 300 150 450 required time 450 2 25 36 sec answer option b ˆ x 225 answer b train consists 12 boggies boggy 15 metre long train cross telegraph post 9 second due problem one boggies detached train cross telegraph post,0.28208307501549906,0.3947368421052631
1,1,3,18,a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,"""speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e""","a ) 560 , b ) 570 , c ) 580 , d ) 590 , e ) 600",e,"multiply(divide(multiply(120, const_1000), const_3600), 18)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # ,Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec . length of the train = ( speed x time ) . length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,category physics speed 120 x 5 18 sec 100 3 sec length train speed x time length train 100 3 x 18 600 e train running speed 120 km hr crosses pole 18 seconds length train,1,['Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec. length of the train = ( speed x time ). length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # ƫ of a train covers a distance of 10 km in 3 hours. what is the length of the train?'],"(0.0, 11.0)",0.76,2.0,['Category: physics # speed = ( 120 x ( 5 / 18 ) m / sec = ( 100 / 3 ) m / sec. length of the train = ( speed x time ). length of the train = ( ( 100 / 3 ) x 18 ) m = 600 m e # ƞ 300 seconds. # a train running at the speed of 120 km / hr crosses a pole in 18 seconds. what is the length of the train?'],"(0.94, 3.0)",0.94,3.0,category physic speed 120 x 5 18 sec 100 3 sec length train speed x time length train 100 3 x 18 600 e ƞ 300 second train running speed 120 km hr cross pole 18 second length train,0.24488530688158713,0.2894736842105263
2,2,4,19,a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,"""s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a""","a ) 32 kmph , b ) 76 kmph , c ) 34 kmph , d ) 43 kmph , e ) 40 kmph",a,"divide(divide(add(100, 300), const_1000), divide(45, const_3600))","add(n0,n1)|divide(n2,const_3600)|divide(#0,const_1000)|divide(#2,#1)|",physics,Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # ,Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,category physics 100 300 45 400 45 18 5 32 answer train 100 meters long completely crosses 300 meters long bridge 45 seconds speed train,1,['Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # ƫ ng us on an 850 - meter long train crosses a 900 meter long platform in 45 seconds. what is the speed of the train?'],"(0.0, 11.0)",0.77,2.0,['Category: physics # s = ( 100 + 300 ) / 45 = 400 / 45 * 18 / 5 = 32 answer : a # ƞ t = 160 / 45 * 60 = 8.6 mins answer : b. # a 300 meter long train crosses a pla ƞ orm in 45 seconds. what is the speed of the train?'],"(0.65, 5.0)",0.65,5.0,category physic 100 300 45 400 45 18 5 32 answer ƞ 160 45 60 86 min answer b 300 meter long train cross pla ƞ orm 45 second speed train,0.4190948543087415,0.2894736842105263
3,3,7,31,"two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?","""rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d""","a ) 10.11 , b ) 8.11 , c ) 77.2 , d ) 13.15 , e ) 22.22",d,"multiply(multiply(multiply(const_0_2778, subtract(60, 16)), 50), inverse(multiply(const_0_2778, add(60, 16))))","add(n0,n1)|subtract(n0,n1)|multiply(#0,const_0_2778)|multiply(#1,const_0_2778)|inverse(#2)|multiply(n2,#3)|multiply(#4,#5)|",physics,Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d # ,"Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec . answer : d # two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?",category physics rs 60 40 20 5 18 100 18 50 50 100 18 2500 9 rs 60 16 76 5 18 2500 9 18 380 1315 sec answer two trains equal length running speeds 60 16 kmph take 50 seconds cross running direction time take cross running opposite directions,1,"['Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec. answer : d # тu moves at the rate of 60 meters per second to the nearest whole length. she runs at the rate of 40 meters per second and spends 4 seconds each time, she runs at the rate of 10 meters per second. she runs at the rate of 12 meters per second and spends 4 seconds every third. how many seconds will it take her to run the first 60 meters in the hour?']","(0.0, 25.0)",0.47,6.0,['Category: physics # rs = 60 - 40 = 20 * 5 / 18 = 100 / 18 t = 50 d = 50 * 100 / 18 = 2500 / 9 rs = 60 + 16 = 76 * 5 / 18 t = 2500 / 9 * 18 / 380 = 13.15 sec. answer : d # ƞ two trains each 250 m in length are running on the same parallel lines in opposite directions with the speed of 60 kmph and 16 kmph respectively. in what time will they cross each other completely?'],"(0.58, 3.0)",0.58,3.0,category physic r 60 40 20 5 18 100 18 50 50 100 18 2500 9 r 60 16 76 5 18 2500 9 18 380 1315 sec answer ƞ two train 250 length running parallel line opposite direction speed 60 kmph 16 kmph respectively time cross completely,0.20830750154990701,0.6842105263157895
4,4,18,61,how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,"""explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d""","a ) 48 , b ) 36 , c ) 26 , d ) 39 , e ) 18",d,"divide(650, multiply(subtract(63, 3), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d # ,Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d # how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,category physics explanation distance 650 mts speed 63 3 60 kmph 60 x 5 18 time 39 sec answer many seconds 650 meter long train moving speed 63 km hr take cross man walking speed 3 km hr direction train,1,['Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec. answer : d # т to a nearby port sells them at the rate of 63 kmph and 10 kmph. the time it took to ship them was 38 seconds. what was the time it took to ship them?'],"(0.0, 11.0)",0.53,3.0,['Category: physics # explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec. answer : d # ˆ ¨ x = 1200 answer : b # a train of length 250 m runs at a speed of 72 kmph in 37 seconds. what is the speed of train?'],"(0.57, 4.0)",0.57,4.0,category physic explanation distance 650 mt speed 63 3 60 kmph 60 x 5 18 time 39 sec answer ˆ x 1200 answer b train length 250 run speed 72 kmph 37 second speed train,0.2957222566646001,0.2894736842105263
5,5,21,71,a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?,"""speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c""","a ) 90 , b ) 120 , c ) 60 , d ) 95 , e ) 75",c,"multiply(divide(multiply(50, const_1000), const_3600), 4)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c # ,Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec . length of the train = ( speed x time ) . length of the train = 15 x 4 m = 60 m . answer : c # a train running at the speed of 50 km / hr crosses a post in 4 seconds . what is the length of the train ?,category physics speed 54 x 5 18 15 sec length train speed x time length train 15 x 4 60 answer c train running speed 50 km hr crosses post 4 seconds length train,1,['Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec. length of the train = ( speed x time ). length of the train = 15 x 4 m = 60 m. answer : c # ƫ ng the train in km / hr and the train is traveling in opposite direction. the length of the train is 6 metre and width is 3 metre. find the length of the train?'],"(0.0, 9.0)",0.6,2.0,"['Category: physics # speed = ( 54 x 5 / 18 ) = 15 m / sec. length of the train = ( speed x time ). length of the train = 15 x 4 m = 60 m. answer : c # ƞ t = 40 s = 40 m. answer : c # a train covers a distance in 18 seconds. if it takes 4 seconds to pass a telegraph post, then the length of the train is?']","(0.6, 4.0)",0.6,4.0,category physic speed 54 x 5 18 15 sec length train speed x time length train 15 x 4 60 answer c ƞ 40 40 answer c train cover distance 18 second take 4 second pas telegraph post length train,0.28332300061996285,0.2368421052631578
6,6,26,94,a 240 m long train running at the speed of 120 km / hr crosses another train running in opposite direction at the speed of 80 km / hr in 9 sec . what is the length of the other train ?,"""relative speed = 120 + 80 = 200 km / hr . = 200 * 5 / 18 = 500 / 9 m / sec . let the length of the other train be x m . then , ( x + 240 ) / 9 = 500 / 9 = > x = 260 . answer : option a""","a ) 260 , b ) 250 , c ) 240 , d ) 230 , e ) 220",a,"subtract(multiply(multiply(add(120, 80), const_0_2778), 9), 240)","add(n1,n2)|multiply(#0,const_0_2778)|multiply(n3,#1)|subtract(#2,n0)|",physics,"Category: physics # relative speed = 120 + 80 = 200 km / hr . = 200 * 5 / 18 = 500 / 9 m / sec . let the length of the other train be x m . then , ( x + 240 ) / 9 = 500 / 9 = > x = 260 . answer : option a # ","Category: physics # relative speed = 120 + 80 = 200 km / hr . = 200 * 5 / 18 = 500 / 9 m / sec . let the length of the other train be x m . then , ( x + 240 ) / 9 = 500 / 9 = > x = 260 . answer : option a # a 240 m long train running at the speed of 120 km / hr crosses another train running in opposite direction at the speed of 80 km / hr in 9 sec . what is the length of the other train ?",category physics relative speed 120 80 200 km hr 200 5 18 500 9 sec let length train x x 240 9 500 9 x 260 answer option 240 long train running speed 120 km hr crosses another train running opposite direction speed 80 km hr 9 sec length train,1,"['Category: physics # relative speed = 120 + 80 = 200 km / hr. = 200 * 5 / 18 = 500 / 9 m / sec. let the length of the other train be x m. then, ( x + 240 ) / 9 = 500 / 9 = > x = 260. answer : option a # т 160 meters long train crosses a platform in 9 seconds and then crosses another platform in 8 seconds. what is the length of the other train?']","(0.0, 17.0)",0.65,5.0,"['Category: physics # relative speed = 120 + 80 = 200 km / hr. = 200 * 5 / 18 = 500 / 9 m / sec. let the length of the other train be x m. then, ( x + 240 ) / 9 = 500 / 9 = > x = 260. answer : option a # ˆ ¨ x = 280 m. answer : a # a 260 m long train running at the speed of 120 km / hr crosses another train running in opposite direction at the speed of 80 km / hr in 9 seconds. what is the length of the other train?']","(0.91, 2.0)",0.91,2.0,category physic relative speed 120 80 200 km hr 200 5 18 500 9 sec let length train x x 240 9 500 9 x 260 answer option ˆ x 280 answer 260 long train running speed 120 km hr cross another train running opposite direction speed 80 km hr 9 second length train,0.3663980161190329,0.4473684210526316
7,7,30,120,"the length of the bridge , which a train 180 metres long and travelling at 45 km / hr can cross in 30 seconds , is ?","""speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres . then , ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m . answer : c""","a ) 876 m , b ) 157 m , c ) 195 m , d ) 156 m , e ) 167 m",c,"subtract(multiply(divide(multiply(45, speed(const_1000, const_1)), speed(const_3600, const_1)), 30), 180)","speed(const_1000,const_1)|speed(const_3600,const_1)|multiply(n1,#0)|divide(#2,#1)|multiply(n2,#3)|subtract(#4,n0)|",physics,"Category: physics # speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres . then , ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m . answer : c # ","Category: physics # speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres . then , ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m . answer : c # the length of the bridge , which a train 180 metres long and travelling at 45 km / hr can cross in 30 seconds , is ?",category physics speed 45 x 5 18 sec 25 2 sec time 30 sec let length bridge x metres 180 x 30 25 2 2 180 x 750 x 195 answer c length bridge train 180 metres long travelling 45 km hr cross 30 seconds,1,"['Category: physics # speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres. then, ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m. answer : c # т momentarcy was sitting on a platform. she has a train of 180 meters long, is traveling at 45 km per hour. if the speed of the train is 45 kmph what will be the length of the platform 3 kilometerium?']","(1.0, 17.0)",0.65,2.0,"['Category: physics # speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres. then, ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m. answer : c # ˆ ¨ x = 195 m. answer : a train 180 meters long train running at the speed of 45 km / hr crosses a bridge in 30 seconds. what is the length of the bridge?']","(0.69, 4.0)",0.69,4.0,category physic speed 45 x 5 18 sec 25 2 sec time 30 sec let length bridge x metre 180 x 30 25 2 2 180 x 750 x 195 answer c ˆ x 195 answer train 180 meter long train running speed 45 km hr cross bridge 30 second length bridge,0.28766274023558586,0.4473684210526316
8,8,33,131,a train 140 meters long takes 6 seconds to cross a man walking at 5 kmph in the direction opposite to that of the train . find the speed of the train .,"""explanation : let the speed of the train be x kmph . speed of the train relative to man = ( x + 5 ) kmph = ( x + 5 ) × 5 / 18 m / sec . therefore 140 / ( ( x + 5 ) × 5 / 18 ) = 6 < = > 30 ( x + 5 ) = 2520 < = > x = 79 speed of the train is 79 kmph . answer : option e""","a ) 45 kmph , b ) 50 kmph , c ) 55 kmph , d ) 60 kmph , e ) 79 kmph",e,"subtract(divide(140, multiply(6, const_0_2778)), 5)","multiply(n1,const_0_2778)|divide(n0,#0)|subtract(#1,n2)|",physics,Category: physics # explanation : let the speed of the train be x kmph . speed of the train relative to man = ( x + 5 ) kmph = ( x + 5 ) × 5 / 18 m / sec . therefore 140 / ( ( x + 5 ) × 5 / 18 ) = 6 < = > 30 ( x + 5 ) = 2520 < = > x = 79 speed of the train is 79 kmph . answer : option e # ,Category: physics # explanation : let the speed of the train be x kmph . speed of the train relative to man = ( x + 5 ) kmph = ( x + 5 ) × 5 / 18 m / sec . therefore 140 / ( ( x + 5 ) × 5 / 18 ) = 6 < = > 30 ( x + 5 ) = 2520 < = > x = 79 speed of the train is 79 kmph . answer : option e # a train 140 meters long takes 6 seconds to cross a man walking at 5 kmph in the direction opposite to that of the train . find the speed of the train .,category physics explanation let speed train x kmph speed train relative man x 5 kmph x 5 5 18 sec therefore 140 x 5 5 18 6 30 x 5 2520 x 79 speed train 79 kmph answer option e train 140 meters long takes 6 seconds cross man walking 5 kmph direction opposite train find speed train,1,['Category: physics # explanation : let the speed of the train be x kmph. speed of the train relative to man = ( x + 5 ) kmph = ( x + 5 ) × 5 / 18 m / sec. therefore 140 / ( ( x + 5 ) × 5 / 18 ) = 6 < = > 30 ( x + 5 ) = 2520 < = > x = 79 speed of the train is 79 kmph. answer : option e # ƫ crossing a man crosses a platform in 5 seconds and a man standing on the platform in 4 seconds. what is the speed of the train?'],"(0.0, 17.0)",0.72,3.0,['Category: physics # explanation : let the speed of the train be x kmph. speed of the train relative to man = ( x + 5 ) kmph = ( x + 5 ) × 5 / 18 m / sec. therefore 140 / ( ( x + 5 ) × 5 / 18 ) = 6 < = > 30 ( x + 5 ) = 2520 < = > x = 79 speed of the train is 79 kmph. answer : option e #  train 140 meters long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 6 seconds. what is the length of the other train?'],"(0.72, 3.0)",0.72,3.0,category physic explanation let speed train x kmph speed train relative man x 5 kmph x 5 5 18 sec therefore 140 x 5 5 18 6 30 x 5 2520 x 79 speed train 79 kmph answer option e train 140 meter long train running speed 120 kmph cross another train running opposite direction speed 80 kmph 6 second length train,0.22690638561686302,0.4473684210526316
9,9,34,132,"a train 125 m long passes a man , running at 5 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is :","""speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec . [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr . let the speed of the train be x km / hr . then , relative speed = ( x - 5 ) km / hr . x - 5 = 45 = = > x = 50 km / hr . answer : b""","a ) 10 km / hr , b ) 50 km / hr , c ) 14 km / hr , d ) 17 km / hr , e ) 77 km / hr",b,"divide(divide(subtract(125, multiply(multiply(5, const_0_2778), 5)), 10), const_0_2778)","multiply(n1,const_0_2778)|multiply(n1,#0)|subtract(n0,#1)|divide(#2,n2)|divide(#3,const_0_2778)|",physics,"Category: physics # speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec . [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr . let the speed of the train be x km / hr . then , relative speed = ( x - 5 ) km / hr . x - 5 = 45 = = > x = 50 km / hr . answer : b # ","Category: physics # speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec . [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr . let the speed of the train be x km / hr . then , relative speed = ( x - 5 ) km / hr . x - 5 = 45 = = > x = 50 km / hr . answer : b # a train 125 m long passes a man , running at 5 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is :",category physics speed train relative man 125 10 sec 25 2 sec 25 2 18 5 km hr 45 km hr let speed train x km hr relative speed x 5 km hr x 5 45 x 50 km hr answer b train 125 long passes man running 5 km hr direction train going 10 seconds speed train,1,"['Category: physics # speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec. [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr. let the speed of the train be x km / hr. then, relative speed = ( x - 5 ) km / hr. x - 5 = 45 = = > x = 50 km / hr. answer : b # т to his home was 250 km ahead of the engine of a train 125 km long. he travels first half of the journey at 15 km / hr and second half at 20 km / hr. find the speed of the train?']","(1.0, 16.0)",0.65,4.0,"['Category: physics # speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec. [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr. let the speed of the train be x km / hr. then, relative speed = ( x - 5 ) km / hr. x - 5 = 45 = = > x = 50 km / hr. answer : b # ƞ 18 = 25 m. answer : a train 125 m long passes a man, running at 5 km / hr in the same direction in which the train is going, in 10 seconds. the speed of the train is?']","(0.93, 5.0)",0.93,5.0,category physic speed train relative man 125 10 sec 25 2 sec 25 2 18 5 km hr 45 km hr let speed train x km hr relative speed x 5 km hr x 5 45 x 50 km hr answer b ƞ 18 25 answer train 125 long pass man running 5 km hr direction train going 10 second speed train,0.36267823930564164,0.4210526315789473
