,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score,s_gptscore,n_gptscore,generated,score,s_score,n_score,generated_clean,loss,labels
0,0,23,75,"20 beavers , working together in a constant pace , can build a dam in 6 hours . how many hours will it take 12 beavers that work at the same pace , to build the same dam ?","""total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a""","a ) 10 . , b ) 4 . , c ) 5 . , d ) 6 , e ) 8 .",a,"divide(multiply(6, 20), 12)","multiply(n0,n1)|divide(#0,n2)|",physics,Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # ,"Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # 20 beavers , working together in a constant pace , can build a dam in 6 hours . how many hours will it take 12 beavers that work at the same pace , to build the same dam ?",category physics total work 20 6 120 beaver hours 12 beaver x 120 beaver hours x 120 12 10 answer 20 beavers working together constant pace build dam 6 hours many hours take 12 beavers work pace build dam,5,"['Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # т can finish a work in 12 days, b and c in 6 days, 7 take 12 days and 6 take 4 days respectively. if the work done by them in 3 days is the same, how many days will it take to finish the work?']","(0.44, 6.0)",0.44,6.0,"['Category: physics # total work = 20 * 6 = 120 beaver hours 12 beaver * x = 120 beaver hours x = 120 / 12 = 10 answer : a # ˆathleen can paint a room in 4 hours, and anthony can paint an identical room in 6 hours. how many hours would it take kathleen and anthony to paint both rooms if they work together at their respective rates?']","(0.43, 2.0)",0.43,2.0,category physic total work 20 6 120 beaver hour 12 beaver x 120 beaver hour x 120 12 10 answer ˆathleen paint room 4 hour anthony paint identical room 6 hour many hour would take kathleen anthony paint room work together respective rate,0.1078431372549019,0.13101265822784808
1,1,40,147,"one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill tank in 35 min , then the slower pipe alone will be able to fill the tank in ?","""let the slower pipe alone fill the tank in x min . then , faster pipe will fill it in x / 3 min . 1 / x + 3 / x = 1 / 35 4 / x = 1 / 35 = > x = 140 min . answer : e""","a ) 229 , b ) 787 , c ) 144 , d ) 128 , e ) 140",e,"multiply(add(const_1, const_4), 35)","add(const_1,const_4)|multiply(n0,#0)|",physics,"Category: physics # let the slower pipe alone fill the tank in x min . then , faster pipe will fill it in x / 3 min . 1 / x + 3 / x = 1 / 35 4 / x = 1 / 35 = > x = 140 min . answer : e # ","Category: physics # let the slower pipe alone fill the tank in x min . then , faster pipe will fill it in x / 3 min . 1 / x + 3 / x = 1 / 35 4 / x = 1 / 35 = > x = 140 min . answer : e # one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill tank in 35 min , then the slower pipe alone will be able to fill the tank in ?",category physics let slower pipe alone fill tank x min faster pipe fill x 3 min 1 x 3 x 1 35 4 x 1 35 x 140 min answer e one pipe fill tank three times fast another pipe together two pipes fill tank 35 min slower pipe alone able fill tank,5,"['Category: physics # let the slower pipe alone fill the tank in x min. then, faster pipe will fill it in x / 3 min. 1 / x + 3 / x = 1 / 35 4 / x = 1 / 35 = > x = 140 min. answer : e # т can empty a tank in 3 minutes. before the tank is filled, it takes 3 minutes for the pipe a to fill the tank. alternatively, the faster pipe can empty the tank in 6 minutes. when the tank is filled, it takes 6 minutes for the pipe a to fill the tank. how much time will it take to fill the tank?']","(0.53, 4.0)",0.53,4.0,"['Category: physics # let the slower pipe alone fill the tank in x min. then, faster pipe will fill it in x / 3 min. 1 / x + 3 / x = 1 / 35 4 / x = 1 / 35 = > x = 140 min. answer : e # ˆ — 3 = 144 min. fully filled, 1 / 10 = 6 min. filled, all the three pipes in one minute = 1 / 15 + 6 / 40 - 1 / 45 = 1 / 9 = > x = 148 min. answer : c # one pipe can fill a tank three times as fast as another pipe. if together the two pipes can fill tank in 36 min, then the slower pipe alone will be able to fill the tank in?']","(0.51, 15.0)",0.51,15.0,category physic let slower pipe alone fill tank x min faster pipe fill x 3 min 1 x 3 x 1 35 4 x 1 35 x 140 min answer e ˆ 3 144 min fully filled 1 10 6 min filled three pipe one minute 1 15 6 40 1 45 1 9 x 148 min answer c one pipe fill tank three time fast another pipe together two pipe fill tank 36 min slower pipe alone able fill tank,0.0980392156862745,1.0
2,2,48,181,"gary ’ s gas station serves an average of 15 cars per hour on saturdays , 10 cars per hour on sundays , and 9 cars per hour on all other days of the week . if the station is open from 6 a . m . to 10 p . m . every day , how many cars does gary ’ s station serve over the course of a typical week ?",6 a . m . to 10 p . m . = 16 hours number of cars serviced on weekdays = ( 16 * 9 * 5 ) number of cars serviced on saturday = ( 16 * 15 ) number of cars serviced on sunday = ( 16 * 10 ) number of cars served in a week = 16 ( 45 + 15 + 10 ) = 16 * 70 = 1120 answer : a,"a ) 1,120 , b ) 1,200 , c ) 1,240 , d ) 1,280 , e ) 1,320",a,"floor(divide(multiply(add(6, 10), add(add(15, 10), multiply(9, add(const_4, const_1)))), const_1000))","add(n1,n3)|add(n0,n1)|add(const_1,const_4)|multiply(n2,#2)|add(#1,#3)|multiply(#0,#4)|divide(#5,const_1000)|floor(#6)",physics,Category: physics # 6 a . m . to 10 p . m . = 16 hours number of cars serviced on weekdays = ( 16 * 9 * 5 ) number of cars serviced on saturday = ( 16 * 15 ) number of cars serviced on sunday = ( 16 * 10 ) number of cars served in a week = 16 ( 45 + 15 + 10 ) = 16 * 70 = 1120 answer : a # ,"Category: physics # 6 a . m . to 10 p . m . = 16 hours number of cars serviced on weekdays = ( 16 * 9 * 5 ) number of cars serviced on saturday = ( 16 * 15 ) number of cars serviced on sunday = ( 16 * 10 ) number of cars served in a week = 16 ( 45 + 15 + 10 ) = 16 * 70 = 1120 answer : a # gary ’ s gas station serves an average of 15 cars per hour on saturdays , 10 cars per hour on sundays , and 9 cars per hour on all other days of the week . if the station is open from 6 a . m . to 10 p . m . every day , how many cars does gary ’ s station serve over the course of a typical week ?",category physics 6 10 p 16 hours number cars serviced weekdays 16 9 5 number cars serviced saturday 16 15 number cars serviced sunday 16 10 number cars served week 16 45 15 10 16 70 1120 answer gary gas station serves average 15 cars per hour saturdays 10 cars per hour sundays 9 cars per hour days week station open 6 10 p every day many cars gary station serve course typical week,5,"['Category: physics # 6 a. m. to 10 p. m. = 16 hours number of cars serviced on weekdays = ( 16 * 9 * 5 ) number of cars serviced on saturday = ( 16 * 15 ) number of cars serviced on sunday = ( 16 * 10 ) number of cars served in a week = 16 ( 45 + 15 + 10 ) = 16 * 70 = 1120 answer : a # ʵ s friday night for spring break, wednesday, friday and friday. the number of cars that she rented was 18 percent less than the number that she spent on sundays, wednesday, friday and friday. if for the first week she spent, wednesday, friday and friday, wednesday worked on sundays, thursday, and friday, what fraction of her stores did she spend on wednesday hour?']","(0.51, 5.0)",0.51,5.0,"['Category: physics # 6 a. m. to 10 p. m. = 16 hours number of cars serviced on weekdays = ( 16 * 9 * 5 ) number of cars serviced on saturday = ( 16 * 15 ) number of cars serviced on sunday = ( 16 * 10 ) number of cars served in a week = 16 ( 45 + 15 + 10 ) = 16 * 70 = 1120 answer : a # ˆ can be filled by a tap in 4 hours and another in 12 hours. if both the taps are opened simultaneously, then after how much time will the leak empty it?']","(0.67, 5.0)",0.67,5.0,category physic 6 10 p 16 hour number car serviced weekday 16 9 5 number car serviced saturday 16 15 number car serviced sunday 16 10 number car served week 16 45 15 10 16 70 1120 answer ˆ filled tap 4 hour another 12 hour tap opened simultaneously much time leak empty,0.2156862745098039,0.33164556962025316
3,3,58,231,"two pipes a and b can separately fill a tank in 8 and 10 minutes respectively . a third pipe c can drain off 15 liters of water per minute . if all the pipes are opened , the tank can be filled in 10 minutes . what is the capacity of the tank ?","""1 / 8 + 1 / 10 - 1 / x = 1 / 10 x = 8 8 * 15 = 120 answer : e""","a ) 590 liters , b ) 160 liters , c ) 740 liters , d ) 560 liters , e ) 120 liters",e,"multiply(multiply(inverse(subtract(add(add(divide(const_1, 8), divide(const_1, 10)), divide(const_1, 15)), divide(const_1, 10))), const_3), 10)","divide(const_1,n0)|divide(const_1,n1)|divide(const_1,n2)|divide(const_1,n3)|add(#0,#1)|add(#4,#2)|subtract(#5,#3)|inverse(#6)|multiply(#7,const_3)|multiply(n1,#8)|",physics,Category: physics # 1 / 8 + 1 / 10 - 1 / x = 1 / 10 x = 8 8 * 15 = 120 answer : e # ,"Category: physics # 1 / 8 + 1 / 10 - 1 / x = 1 / 10 x = 8 8 * 15 = 120 answer : e # two pipes a and b can separately fill a tank in 8 and 10 minutes respectively . a third pipe c can drain off 15 liters of water per minute . if all the pipes are opened , the tank can be filled in 10 minutes . what is the capacity of the tank ?",category physics 1 8 1 10 1 x 1 10 x 8 8 15 120 answer e two pipes b separately fill tank 8 10 minutes respectively third pipe c drain 15 liters water per minute pipes opened tank filled 10 minutes capacity tank,5,"['Category: physics # 1 / 8 + 1 / 10 - 1 / x = 1 / 10 x = 8 8 * 15 = 120 answer : e # ƫ makes $ 5 per hour for each widget he works at the work done by ƫ. ƫ takes 10 hours a week, but works 10 hours a week. if ƫ works 8 hours a week, he earns an extra $ 30 per hour. for how many widgets he works at the work done by amƫ?']","(0.31, 4.0)",0.31,4.0,"['Category: physics # 1 / 8 + 1 / 10 - 1 / x = 1 / 10 x = 8 8 * 15 = 120 answer : e # ˆathleen can paint a room in 8 hours, and anthony can paint an identical room in 10 hours. how many hours would it take kathleen and anthony to paint both rooms if they work together at their respective rates?']","(0.34, 2.0)",0.34,2.0,category physic 1 8 1 10 1 x 1 10 x 8 8 15 120 answer e ˆathleen paint room 8 hour anthony paint identical room 10 hour many hour would take kathleen anthony paint room work together respective rate,0.1470588235294117,0.15
4,4,69,276,a cistern 10 meters long and 4 meters wide contains water up to a depth of 1 meter 25 cm . what is the total area of the wet surface ?,area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d .,"a ) 45 , b ) 55 , c ) 65 , d ) 75 , e ) 85",d,"add(add(multiply(10, 4), multiply(const_2, multiply(4, add(1, divide(25, const_100))))), multiply(const_2, multiply(10, add(1, divide(25, const_100)))))","divide(n3,const_100)|multiply(n0,n1)|add(n2,#0)|multiply(n1,#2)|multiply(n0,#2)|multiply(#3,const_2)|multiply(#4,const_2)|add(#1,#5)|add(#7,#6)",physics,Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d . # ,Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d . # a cistern 10 meters long and 4 meters wide contains water up to a depth of 1 meter 25 cm . what is the total area of the wet surface ?,category physics area wet surface 2 lb bh lh lb 2 bh lh lb 2 4 x 125 10 x 125 10 x 4 75 answer cistern 10 meters long 4 meters wide contains water depth 1 meter 25 cm total area wet surface,5,"['Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d. # ʵ s wet surface speed of water current is 2 km / hr and lbh has taken 12 hours each time, what is the distance between them?']","(0.61, 4.0)",0.61,4.0,['Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d. # ahulathleen can paint a room in 25 hours and another in 50 hours. in how many hours will the leak empty it?'],"(0.64, 4.0)",0.64,4.0,category physic area wet surface 2 lb bh lh lb 2 bh lh lb 2 4 x 125 10 x 125 10 x 4 75 answer ahulathleen paint room 25 hour another 50 hour many hour leak empty,0.1372549019607843,0.2981012658227848
5,5,103,433,a cistern can be filled by a tap in 5 hours while it can be emptied by another tap in 10 hours . if both the taps are opened simultaneously then after how much time will the cistern get filled ?,"""net part filled in 1 hour 1 / 5 - 1 / 10 = 1 / 10 the cistern will be filled in 10 hr answer is b""","a ) 20 hr , b ) 10 hr , c ) 5 hr , d ) 4 hr , e ) 15 hr",b,"divide(const_1, subtract(divide(const_1, 5), divide(const_1, 10)))","divide(const_1,n0)|divide(const_1,n1)|subtract(#0,#1)|divide(const_1,#2)|",physics,Category: physics # net part filled in 1 hour 1 / 5 - 1 / 10 = 1 / 10 the cistern will be filled in 10 hr answer is b # ,Category: physics # net part filled in 1 hour 1 / 5 - 1 / 10 = 1 / 10 the cistern will be filled in 10 hr answer is b # a cistern can be filled by a tap in 5 hours while it can be emptied by another tap in 10 hours . if both the taps are opened simultaneously then after how much time will the cistern get filled ?,category physics net part filled 1 hour 1 5 1 10 1 10 cistern filled 10 hr answer b cistern filled tap 5 hours emptied another tap 10 hours taps opened simultaneously much time cistern get filled,5,"['Category: physics # net part filled in 1 hour 1 / 5 - 1 / 10 = 1 / 10 the cistern will be filled in 10 hr answer is b # ƫ can empty a cistern in 10 hrs, while it can empty in 10 hr. what will be the cistern will be filled in 10 hrs?']","(0.56, 2.0)",0.56,2.0,"['Category: physics # net part filled in 1 hour 1 / 5 - 1 / 10 = 1 / 10 the cistern will be filled in 10 hr answer is b # ers of water fill a cistern can fill a cistern in 5 hours while it can be emptied by another tap in 10 hours. if both the taps are opened simultaneously, then after how much time will the cistern get filled?']","(0.53, 0.0)",0.53,0.0,category physic net part filled 1 hour 1 5 1 10 1 10 cistern filled 10 hr answer b er water fill cistern fill cistern 5 hour emptied another tap 10 hour tap opened simultaneously much time cistern get filled,0.0980392156862745,0.043037974683544304
6,6,108,449,"kathleen can paint a room in 2 hours , and anthony can paint an identical room in 3 hours . how many hours would it take kathleen and anthony to paint both rooms if they work together at their respective rates ?","""( 1 / 2 + 1 / 3 ) t = 2 t = 12 / 5 answer : c""","a ) 8 / 15 , b ) 4 / 3 , c ) 12 / 5 , d ) 9 / 4 , e ) 15 / 4",c,"multiply(divide(const_1, add(divide(const_1, 2), divide(const_1, 3))), 2)","divide(const_1,n0)|divide(const_1,n1)|add(#0,#1)|divide(const_1,#2)|multiply(#3,n0)|",physics,Category: physics # ( 1 / 2 + 1 / 3 ) t = 2 t = 12 / 5 answer : c # ,"Category: physics # ( 1 / 2 + 1 / 3 ) t = 2 t = 12 / 5 answer : c # kathleen can paint a room in 2 hours , and anthony can paint an identical room in 3 hours . how many hours would it take kathleen and anthony to paint both rooms if they work together at their respective rates ?",category physics 1 2 1 3 2 12 5 answer c kathleen paint room 2 hours anthony paint identical room 3 hours many hours would take kathleen anthony paint rooms work together respective rates,5,"['Category: physics # ( 1 / 2 + 1 / 3 ) t = 2 t = 12 / 5 answer : c # ƫ ng of two trains is a trapezium, one at the top and the other at the bottom. the distance between them is?']","(0.6, 2.0)",0.6,2.0,"['Category: physics # ( 1 / 2 + 1 / 3 ) t = 2 t = 12 / 5 answer : c # ˆathleen can paint a room in 2 hours, and anthony can paint an identical room in 3 hours in 4 hours. how many hours would it take kathleen and anthony to paint both rooms if they work together at their respective rates?']","(0.37, 1.0)",0.37,1.0,category physic 1 2 1 3 2 12 5 answer c ˆathleen paint room 2 hour anthony paint identical room 3 hour 4 hour many hour would take kathleen anthony paint room work together respective rate,0.088235294117647,0.08417721518987342
7,7,119,506,"three pipes a , b and c can fill a tank from empty to full in 30 minutes , 20 minutes and 10 minutes respectively . when the tank is empty , all the three pipes are opened . a , b and c discharge chemical solutions p , q and r respectively . what is the proportion of solution r in the liquid in the tank after 3 minutes ?","""part filled by ( a + b + c ) in 3 minutes = 3 ( 1 / 30 + 1 / 20 + 1 / 10 ) = 11 / 20 part filled by c in 3 minutes = 3 / 10 required ratio = 3 / 10 * 20 / 11 = 6 / 11 answer : b""","a ) 6 / 15 , b ) 6 / 11 , c ) 6 / 14 , d ) 6 / 12 , e ) 6 / 13",b,"multiply(divide(3, 10), divide(const_1, multiply(3, add(divide(const_1, 10), add(divide(const_1, 30), divide(const_1, 30))))))","divide(n3,n2)|divide(const_1,n0)|divide(const_1,n2)|add(#1,#1)|add(#3,#2)|multiply(n3,#4)|divide(const_1,#5)|multiply(#0,#6)|",physics,Category: physics # part filled by ( a + b + c ) in 3 minutes = 3 ( 1 / 30 + 1 / 20 + 1 / 10 ) = 11 / 20 part filled by c in 3 minutes = 3 / 10 required ratio = 3 / 10 * 20 / 11 = 6 / 11 answer : b # ,"Category: physics # part filled by ( a + b + c ) in 3 minutes = 3 ( 1 / 30 + 1 / 20 + 1 / 10 ) = 11 / 20 part filled by c in 3 minutes = 3 / 10 required ratio = 3 / 10 * 20 / 11 = 6 / 11 answer : b # three pipes a , b and c can fill a tank from empty to full in 30 minutes , 20 minutes and 10 minutes respectively . when the tank is empty , all the three pipes are opened . a , b and c discharge chemical solutions p , q and r respectively . what is the proportion of solution r in the liquid in the tank after 3 minutes ?",category physics part filled b c 3 minutes 3 1 30 1 20 1 10 11 20 part filled c 3 minutes 3 10 required ratio 3 10 20 11 6 11 answer b three pipes b c fill tank empty full 30 minutes 20 minutes 10 minutes respectively tank empty three pipes opened b c discharge chemical solutions p q r respectively proportion solution r liquid tank 3 minutes,5,"['Category: physics # part filled by ( a + b + c ) in 3 minutes = 3 ( 1 / 30 + 1 / 20 + 1 / 10 ) = 11 / 20 part filled by c in 3 minutes = 3 / 10 required ratio = 3 / 10 * 20 / 11 = 6 / 11 answer : b # ƫ completes a work in 30 minutes, amit can complete the same work in 20 minutes and amit can do the same work in 10 minutes. if they work together, what part of the work will be completed by a in 15 minutes?']","(0.55, 1.0)",0.55,1.0,"['Category: physics # part filled by ( a + b + c ) in 3 minutes = 3 ( 1 / 30 + 1 / 20 + 1 / 10 ) = 11 / 20 part filled by c in 3 minutes = 3 / 10 required ratio = 3 / 10 * 20 / 11 = 6 / 11 answer : b # ˆathleen can paint a room in 30 minutes and anthony can paint an identical room in 20 minutes. in how many minutes, it can fill the same sink in 4 minutes. working together at their respective constant rates, the time it will take to fill the sink is closest to']","(0.48, 2.0)",0.48,2.0,category physic part filled b c 3 minute 3 1 30 1 20 1 10 11 20 part filled c 3 minute 3 10 required ratio 3 10 20 11 6 11 answer b ˆathleen paint room 30 minute anthony paint identical room 20 minute many minute fill sink 4 minute working together respective constant rate time take fill sink closest,0.2254901960784313,0.1582278481012658
8,8,125,536,"a cistern has a leak which would empty the cistern in 20 minutes . a tap is turned on which admits 7 liters a minute into the cistern , and it is emptied in 24 minutes . how many liters does the cistern hold ?","""1 / x - 1 / 20 = - 1 / 24 x = 120 120 * 7 = 840 answer : d""","a ) 480 , b ) 487 , c ) 481 , d ) 840 , e ) 268",d,"multiply(24, 20)","multiply(n0,n2)|",physics,Category: physics # 1 / x - 1 / 20 = - 1 / 24 x = 120 120 * 7 = 840 answer : d # ,"Category: physics # 1 / x - 1 / 20 = - 1 / 24 x = 120 120 * 7 = 840 answer : d # a cistern has a leak which would empty the cistern in 20 minutes . a tap is turned on which admits 7 liters a minute into the cistern , and it is emptied in 24 minutes . how many liters does the cistern hold ?",category physics 1 x 1 20 1 24 x 120 120 7 840 answer cistern leak would empty cistern 20 minutes tap turned admits 7 liters minute cistern emptied 24 minutes many liters cistern hold,5,['Category: physics # 1 / x - 1 / 20 = - 1 / 24 x = 120 120 * 7 = 840 answer : d # ƫ can set a simple interest of rs. 1200 per year at the rate of 10 % p. a. what will be its approximate worth in 5 years?'],"(0.44, 3.0)",0.44,3.0,"['Category: physics # 1 / x - 1 / 20 = - 1 / 24 x = 120 120 * 7 = 840 answer : d # ˆathleen can paint a room in 20 minutes and another in 24 minutes. in how many minutes, the third pipe alone can empty the cistern?']","(0.44, 2.0)",0.44,2.0,category physic 1 x 1 20 1 24 x 120 120 7 840 answer ˆathleen paint room 20 minute another 24 minute many minute third pipe alone empty cistern,0.1176470588235294,0.1569620253164557
9,9,128,555,"pipe a fills a tank in 42 minutes . pipe b can fill the same tank 6 times as fast as pipe a . if both the pipes are kept open when the tank is empty , how many minutes will it take to fill the tank ?","""a ' s rate is 1 / 42 and b ' s rate is 1 / 7 . the combined rate is 1 / 42 + 1 / 7 = 1 / 6 the pipes will fill the tank in 6 minutes . the answer is d .""","a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",d,"inverse(add(divide(const_1, 42), divide(6, 42)))","divide(const_1,n0)|divide(n1,n0)|add(#0,#1)|inverse(#2)|",physics,Category: physics # a ' s rate is 1 / 42 and b ' s rate is 1 / 7 . the combined rate is 1 / 42 + 1 / 7 = 1 / 6 the pipes will fill the tank in 6 minutes . the answer is d . # ,"Category: physics # a ' s rate is 1 / 42 and b ' s rate is 1 / 7 . the combined rate is 1 / 42 + 1 / 7 = 1 / 6 the pipes will fill the tank in 6 minutes . the answer is d . # pipe a fills a tank in 42 minutes . pipe b can fill the same tank 6 times as fast as pipe a . if both the pipes are kept open when the tank is empty , how many minutes will it take to fill the tank ?",category physics rate 1 42 b rate 1 7 combined rate 1 42 1 7 1 6 pipes fill tank 6 minutes answer pipe fills tank 42 minutes pipe b fill tank 6 times fast pipe pipes kept open tank empty many minutes take fill tank,5,"[""Category: physics # a's rate is 1 / 42 and b's rate is 1 / 7. the combined rate is 1 / 42 + 1 / 7 = 1 / 6 the pipes will fill the tank in 6 minutes. the answer is d. # т works at her work at a constant rate of 42 minutes per hour and takes 7 hours each hour, she works at her work at the constant rate of 7 per hour. she works at her work at a constant rate of 1 hour and works 10 hours every hour. she works 8 hours a week. she works 4 hours a week. she works at her work at the constant rate of 6 per hour. she works 4 hours a day. how many minutes does she work @ her work?""]","(0.47, 15.0)",0.47,15.0,"[""Category: physics # a's rate is 1 / 42 and b's rate is 1 / 7. the combined rate is 1 / 42 + 1 / 7 = 1 / 6 the pipes will fill the tank in 6 minutes. the answer is d. # ˆers can fill a tank in 40 minutes. pipe b can fill the same tank 6 times as fast as pipe a. if both the pipes are kept open when the tank is empty, how many minutes will it take to fill the tank?""]","(0.48, 9.0)",0.48,9.0,category physic rate 1 42 b rate 1 7 combined rate 1 42 1 7 1 6 pipe fill tank 6 minute answer ˆers fill tank 40 minute pipe b fill tank 6 time fast pipe pipe kept open tank empty many minute take fill tank,0.1274509803921568,0.11518987341772151
